MacroPlot,Site,Plot,Treatment,Year,Species,Status,UV1,Count
MBB6_Control_Marin,Marin,MBB 06,Control,2015,LUAL,L,M,1
MBB6_Control_Marin,Marin,MBB 06,Control,2015,LUAL,L,M,1
MBB6_Control_Marin,Marin,MBB 06,Control,2015,LUAL,L,M,1
MBB6_Control_Marin,Marin,MBB 06,Control,2015,LUAL,L,I,1
MBB6_Control_Marin,Marin,MBB 06,Control,2015,LUAL,L,I,1
MBB6_Control_Marin,Marin,MBB 06,Control,2015,LUAL,L,M,1
MBB6_Control_Marin,Marin,MBB 06,Control,2015,LUAL,L,I,1
MBB6_Control_Marin,Marin,MBB 06,Control,2015,LUAL,L,M,1
MBB6_Control_Marin,Marin,MBB 06,Control,2015,LUAL,L,I,1
MBB6_Control_Marin,Marin,MBB 06,Control,2015,LUAL,L,I,1
MBB6_Control_Marin,Marin,MBB 06,Control,2015,LUAL,L,M,1
MBB6_Control_Marin,Marin,MBB 06,Control,2015,LUAL,L,M,1
